BBL,ENERGY STAR Score,Calendar Year,Emisiones DOB,ranking
1020267501,84.0,2022,372.2,14765
2022780056,45.0,2022,62.5,9472
4002800005,,2022,98.7,
4004400008,94.0,2022,662.6,17770
1006180040,19.0,2022,81.2,13448
3061430001,9.0,2022,1221.5,35869
3067827504,,2022,56.7,
2045050015,5.0,2022,229.0,23782
3006520036,55.0,2022,40.0,7557
5000050057,97.0,2022,246.8,6794
3048700033,11.0,2022,129.9,16480
3050830110,57.0,2022,161.2,11272
2039447501,83.0,2022,17008.9,29442
4021070024,,2022,,
2030290015,35.0,2022,1271.2,34621
4019560001,40.0,2022,155.3,14068
2041620041,100.0,2022,55.1,639
4016340001,54.0,2022,768.4,30321
3013050029,39.0,2022,181.0,15905
1002390020,91.0,2022,157.3,4534
1003030025,35.0,2022,255.8,21641
3022780002,,2022,312.1,
2023190112,1.0,2022,1289.9,36244
3045020027,,2022,73.6,
2038230007,46.0,2022,206.6,16347
2028070027,54.0,2022,230.1,16217
1012310055,1.0,2022,715.5,34862
2031690034,9.0,2022,492.7,32330
3061337502,98.0,2022,78.3,1841
4006540062,97.0,2022,65.7,1771
4006540067,85.0,2022,84.0,3666
4006540072,69.0,2022,91.8,6515
2023520015,,2022,224.7,
1007700051,56.0,2022,209.2,14448
1007380048,86.0,2022,177.6,6150
2023230043,,2022,,
3027497501,82.0,2022,80.3,4087
4051057503,62.0,2022,155.5,10043
3029430002,100.0,2022,2.8,33
3007670038,38.0,2022,177.8,15816
3007670043,1.0,2022,347.8,29959
3007330038,22.0,2022,225.6,21595
1017537503,,2022,68.5,
1017520057,57.0,2022,148.7,10659
1017450055,47.0,2022,346.7,24009
1022430277,1.0,2022,748.2,34994
3067427501,49.0,2022,112.4,10488
1002350013,96.0,2022,107.8,2582
1008460041,13.0,2022,204.0,21226
1005630019,91.0,2022,192.2,5791
1005620014,,2022,32.9,
3061050028,57.0,2022,210.9,14347
3052340001,46.0,2022,440.6,27142
3065520001,61.0,2022,330.2,20167
3016170057,92.0,2022,162.9,4557
1008370045,95.0,2022,45.8,1725
2023157501,77.0,2022,100.2,5342
2032930026,42.0,2022,188.8,15850
2031540070,100.0,2022,65.1,818
2033170001,6.0,2022,333.8,28949
2031890025,49.0,2022,157.9,12629
2033260113,4.0,2022,450.4,32053
2032810029,100.0,2022,56.3,662
2033240016,21.0,2022,292.1,25572
2033140014,61.0,2022,160.8,10477
3029170007,63.0,2022,125.9,8623
1006907502,,2022,164.2,
3053340001,38.0,2022,279.9,22480
2033200037,57.0,2022,356.2,22243
1020880019,30.0,2022,349.1,26909
2033360055,100.0,2022,47.9,510
4037910083,16.0,2022,309.3,26974
4013367501,2.0,2022,358.1,30154
2059570152,58.0,2022,622.3,28052
2059470001,65.0,2022,537.9,25151
4004710725,56.0,2022,72.3,8129
2032500065,98.0,2022,137.0,2939
2033500025,18.0,2022,215.7,21454
2048310018,56.0,2022,181.4,12706
4098270025,91.0,2022,80.5,2730
2043170048,100.0,2022,43.3,427
2027240190,1.0,2022,1022.0,35909
3011800001,34.0,2022,890.9,33640
3011810018,55.0,2022,431.5,25096
3011850021,79.0,2022,369.6,16332
3013080052,62.0,2022,427.0,23353
3048530093,87.0,2022,546.0,18280
3048650001,57.0,2022,541.8,27113
3014150057,64.0,2022,188.6,11402
3011580023,42.0,2022,231.8,18809
3046270001,61.0,2022,201.9,12860
3013320007,31.0,2022,307.1,24966
3053600048,78.0,2022,204.8,9055
3050260339,73.0,2022,225.1,11280
1000160260,71.0,2022,16413.0,32218
1010500001,,2022,371.3,
1008140015,72.0,2022,6045.3,31683
4157800100,100.0,2022,735.4,15199
4157800020,100.0,2022,1348.9,19056
